id	filename	md5	size	state
0310d221-9df7-4457-8ac4-88ec25b7bacb	0310d221-9df7-4457-8ac4-88ec25b7bacb/7d29bf8b-cb49-4fda-82c4-730b22406b7a.wxs.aliquot_ensemble_masked.maf.gz	3960a4af74faa5dd59b82bd8e0aa0815	55698	validated
0518551d-4df2-4124-b68d-494200c5586b	0518551d-4df2-4124-b68d-494200c5586b/e75893cc-346b-4567-bdd4-f88f3444a72a.wxs.aliquot_ensemble_masked.maf.gz	11192e95f456bc607ed4c2b3aa122ada	34079	validated
0f13cc5e-1ca3-4cd9-8c1d-07d51eb631a3	0f13cc5e-1ca3-4cd9-8c1d-07d51eb631a3/70b5014d-329a-4552-80e0-db9372971949.wxs.aliquot_ensemble_masked.maf.gz	772760559751955a709a2056aecf3b67	30008	validated
259c89d9-40fe-4f3b-9e45-d9b99dd490ed	259c89d9-40fe-4f3b-9e45-d9b99dd490ed/90cd7976-d319-4b7c-a799-fb3ab34d37c5.wxs.aliquot_ensemble_masked.maf.gz	34b33e59c34ed11b8c028a0e02de6c39	12405	validated
39ee0a7a-9af5-494e-a291-7cf8e11a24e7	39ee0a7a-9af5-494e-a291-7cf8e11a24e7/ce4efe10-ee67-46db-acdc-4e58bb8463b0.wxs.aliquot_ensemble_masked.maf.gz	39f4dbcf998e0a2303392d40158c4cf7	42357	validated
5489f385-84da-4816-b251-2cb1dddd88d4	5489f385-84da-4816-b251-2cb1dddd88d4/dd7f6b49-f072-4824-bbf1-6c761ad8ee55.wxs.aliquot_ensemble_masked.maf.gz	d83a467fa0802a7d9a7326e70bf7bcae	7082	validated
8068a146-12a4-4cd0-aefa-cf02c7fbf54d	8068a146-12a4-4cd0-aefa-cf02c7fbf54d/c0d0c78d-0157-4b4f-80e0-b398c75ad18d.wxs.aliquot_ensemble_masked.maf.gz	3d16dd3b381d3e1669960eea1082fc8b	13763	validated
a439c34b-d993-414d-b0a7-639cbae88d0e	a439c34b-d993-414d-b0a7-639cbae88d0e/35c403cc-00f7-4710-bba7-f0ad2237baca.wxs.aliquot_ensemble_masked.maf.gz	8508ddad8a74af22617df856bfbde627	29187	validated
d89e9f6c-6721-4a11-bad9-6777a6eeeb21	d89e9f6c-6721-4a11-bad9-6777a6eeeb21/e17f098e-9cb6-4706-8156-09a43b8cd953.wxs.aliquot_ensemble_masked.maf.gz	fe171c1b4697d39f92732e1abb3510f7	16357	validated
eea81c2d-ad24-4bec-bf61-5beee62c8fb4	eea81c2d-ad24-4bec-bf61-5beee62c8fb4/d67c3d46-927a-49eb-ba5b-5691a75223ee.wxs.aliquot_ensemble_masked.maf.gz	ba19489711633fafc51284224b8e44b7	15127	validated
\N	0310d221-9df7-4457-8ac4-88ec25b7bacb/annotations.txt	d3b47aa9ee57248aeb011d9725904807	301	\N
\N	0518551d-4df2-4124-b68d-494200c5586b/annotations.txt	1d5f926275c91c519cdee11b5cbb3fba	301	\N
\N	0f13cc5e-1ca3-4cd9-8c1d-07d51eb631a3/annotations.txt	44b8111a882a1198fa6fbef26190bb02	301	\N
\N	259c89d9-40fe-4f3b-9e45-d9b99dd490ed/annotations.txt	be905e730bd34882f2a0aca89339c633	301	\N
\N	39ee0a7a-9af5-494e-a291-7cf8e11a24e7/annotations.txt	6ffa7edde286f5316bc8de3316011e3c	301	\N
\N	5489f385-84da-4816-b251-2cb1dddd88d4/annotations.txt	3f9f51d39aa11f885cafa6a5543e3044	301	\N
\N	8068a146-12a4-4cd0-aefa-cf02c7fbf54d/annotations.txt	e647401b44d43344e83edd9f3824fa16	301	\N
\N	a439c34b-d993-414d-b0a7-639cbae88d0e/annotations.txt	42a091062152cb2631239452482313f9	301	\N
\N	d89e9f6c-6721-4a11-bad9-6777a6eeeb21/annotations.txt	a420d027dd181b74ceb22a9b0db608dc	301	\N
\N	eea81c2d-ad24-4bec-bf61-5beee62c8fb4/annotations.txt	2889108bdd6a287ab89b1cb14622b00e	301	\N
